filename,fold,target,category,esc10,src_file,take
1-000001-A-0.wav,1,0,background,False,wat_042_00_00_2.wav,A
2-000002-A-0.wav,2,0,background,False,dra_097_02_01_0.wav,A
3-000003-A-0.wav,3,0,background,False,coo_043_00_00_0.wav,A
4-000004-A-0.wav,4,0,background,False,wal_043_00_10_3.wav,A
5-000005-A-0.wav,5,0,background,False,obj_104_00_05_0.wav,A
1-000006-A-0.wav,1,0,background,False,dra_041_02_01_0.wav,A
2-000007-A-0.wav,2,0,background,False,was_004_00_00_0.wav,A
3-000008-A-0.wav,3,0,background,False,dis_098_00_00_0.wav,A
4-000009-A-0.wav,4,0,background,False,dra_034_01_01_0.wav,A
5-000010-A-0.wav,5,0,background,False,vac_003_00_00_0.wav,A
1-000011-A-0.wav,1,0,background,False,doo_044_02_00_0.wav,A
2-000012-A-0.wav,2,0,background,False,wal_057_00_12_0.wav,A
3-000013-A-0.wav,3,0,background,False,spe_093_00_00_0.wav,A
4-000014-A-0.wav,4,0,background,False,was_110_00_00_0.wav,A
5-000015-A-0.wav,5,0,background,False,bea_001_00_00_0.wav,A
1-000016-A-0.wav,1,0,background,False,spe_128_00_00_0.wav,A
2-000017-A-0.wav,2,0,background,False,wat_123_00_05_0.wav,A
3-000018-A-0.wav,3,0,background,False,win_018_01_00_0.wav,A
4-000019-A-0.wav,4,0,background,False,dra_022_01_01_0.wav,A
5-000020-A-0.wav,5,0,background,False,coo_045_00_00_0.wav,A
1-000021-A-0.wav,1,0,background,False,wat_079_00_00_1.wav,A
2-000022-A-0.wav,2,0,background,False,mic_111_00_00_3.wav,A
3-000023-A-0.wav,3,0,background,False,obj_044_00_05_0.wav,A
4-000024-A-0.wav,4,0,background,False,dis_039_00_00_0.wav,A
5-000025-A-0.wav,5,0,background,False,cup_086_01_00_0.wav,A
1-000026-A-0.wav,1,0,background,False,cup_135_01_01_0.wav,A
2-000027-A-0.wav,2,0,background,False,obj_054_00_12_0.wav,A
3-000028-A-0.wav,3,0,background,False,was_114_00_00_0.wav,A
4-000029-A-0.wav,4,0,background,False,win_046_01_00_0.wav,A
5-000030-A-0.wav,5,0,background,False,vac_087_00_00_0.wav,A
1-000031-A-0.wav,1,0,background,False,vac_042_00_00_0.wav,A
2-000032-A-0.wav,2,0,background,False,coo_142_00_00_0.wav,A
3-000033-A-0.wav,3,0,background,False,spe_051_00_00_0.wav,A
4-000034-A-0.wav,4,0,background,False,wal_013_00_09_1.wav,A
5-000035-A-0.wav,5,0,background,False,bea_092_00_00_0.wav,A
1-000036-A-0.wav,1,0,background,False,vac_118_00_00_0.wav,A
2-000037-A-0.wav,2,0,background,False,mic_110_00_00_3.wav,A
3-000038-A-0.wav,3,0,background,False,wal_106_09_01_0.wav,A
4-000039-A-0.wav,4,0,background,False,tel_123_00_00_0.wav,A
5-000040-A-0.wav,5,0,background,False,swi_078_00_04_0.wav,A
1-000041-A-0.wav,1,0,background,False,wat_045_00_00_2.wav,A
2-000042-A-0.wav,2,0,background,False,was_012_00_00_0.wav,A
3-000043-A-0.wav,3,0,background,False,mic_048_00_00_1.wav,A
4-000044-A-0.wav,4,0,background,False,spe_062_00_00_0.wav,A
5-000045-A-0.wav,5,0,background,False,fur_061_06_01_3.wav,A
1-000046-A-0.wav,1,0,background,False,spe_178_00_00_0.wav,A
2-000047-A-0.wav,2,0,background,False,swi_026_04_04_0.wav,A
3-000048-A-0.wav,3,0,background,False,obj_004_03_04_0.wav,A
